Customer Order,Dist.Chl.Name,Material Group,FG Type,FG Type Desc.,Construction,Fabrication,Design Source,Business Source,Customer Group,Customer,Gender,Global Style,FG SKU,Cust.Color Code,Season,Season Year,Size,Order Qty,Sales Unit,FOB,Total FOB,SO Doc.Currency,Destination,Req.Delivery Date,RM In Date,Planned Cut Date,Original Ex.Factory Date,Revised Ex.Factory Date,Program Type,Program Type Desc.,Pack Qty,Production Lead Time,Revised Original Date Difference,Order Day,Order Year,Order Month
867536144,0,0,4,4,0,1,0,0,0,6,5,6,91,14,0,2023,95,15,1,4.4799999999999995,67.19999999999999,0,0,1687996800.0,1683158400.0,1683504000.0,1683590400.0,1685059200.0,1,1,50,1,17,29,2023,6
867536145,0,0,4,4,0,1,0,0,0,6,5,6,92,14,0,2023,98,5,1,4.4799999999999995,22.4,0,0,1687996800.0,1683158400.0,1683504000.0,1683590400.0,1685059200.0,1,1,50,1,17,29,2023,6
867536146,0,1,4,4,0,1,1,0,0,6,5,6,93,7,11,2024,93,4,1,4.599,18.396,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536147,0,1,4,4,0,1,1,0,0,6,5,6,94,7,11,2024,92,151,1,4.599,694.4490000000001,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536148,0,1,4,4,0,1,1,0,0,6,5,6,95,7,11,2024,89,203,1,4.599,933.597,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536149,0,1,4,4,0,1,1,0,0,6,5,6,96,7,11,2024,95,177,1,4.599,814.023,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536150,0,1,4,4,0,1,1,0,0,6,5,6,97,7,11,2024,98,71,1,4.599,326.529,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536151,0,1,4,4,0,1,1,0,0,6,5,6,98,7,11,2024,97,10,1,4.599,45.99,0,0,1706832000.0,1704153600.0,1704758400.0,1705622400.0,1706486400.0,1,1,20,10,10,2,2024,2
867536161,0,0,4,4,0,1,0,0,0,6,5,7,99,582,0,2023,93,20,1,5.25,105.0,0,0,1684454400.0,1683849600.0,1684108800.0,1683590400.0,1685059200.0,1,1,50,-6,17,19,2023,5
867536162,0,0,4,4,0,1,0,0,0,6,5,7,100,582,0,2023,92,30,1,5.25,157.5,0,0,1684454400.0,1683849600.0,1684108800.0,1683590400.0,1685059200.0,1,1,50,-6,17,19,2023,5
